,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
40,Indigo,6E-5214,Mumbai,1,1,3,Chennai,0,5.08,31,2832
41,Vistara,UK-834,Chennai,3,1,1,Mumbai,1,18.17,47,85360
42,Air_India,AI-439,Delhi,0,1,3,Mumbai,0,12.17,33,3855
43,Indigo,6E-573,Delhi,2,0,3,Mumbai,0,2.25,42,3570
44,Vistara,UK-828,Chennai,0,1,3,Kolkata,1,9.83,22,54896
45,Vistara,UK-720,Kolkata,0,1,2,Mumbai,0,6.83,32,6067
46,Vistara,UK-849,Mumbai,3,1,4,Delhi,0,6.25,44,6122
47,Indigo,6E-5308,Mumbai,2,0,3,Chennai,0,1.92,7,5943
48,Air_India,AI-539,Chennai,3,0,3,Delhi,0,2.83,49,2271
49,Air_India,AI-487,Delhi,0,1,3,Mumbai,1,9.75,46,39622
50,Vistara,UK-866,Bangalore,4,0,4,Mumbai,1,1.75,16,20760
51,GO_FIRST,G8-102,Kolkata,2,1,0,Mumbai,0,13.92,19,5888
52,Air_India,AI-505,Bangalore,1,1,2,Chennai,0,26.25,47,6444
53,Indigo,6E-5001,Delhi,0,0,1,Mumbai,0,2.17,13,5955
54,Air_India,AI-840,Hyderabad,4,1,3,Chennai,0,22.17,1,23773
55,Vistara,UK-960,Mumbai,1,1,4,Bangalore,1,8.5,42,66928
56,Indigo,6E-841,Bangalore,2,1,4,Mumbai,0,7.33,31,2201
57,Vistara,UK-774,Kolkata,4,1,1,Bangalore,1,12.25,19,52287
58,AirAsia,I5-972,Hyderabad,3,1,5,Delhi,0,7.5,14,6131
59,Air_India,AI-805,Delhi,3,1,0,Chennai,0,11.33,11,11520
60,Indigo,6E-6123,Mumbai,0,1,2,Kolkata,0,7.83,27,5733
61,GO_FIRST,G8-231,Delhi,2,1,4,Bangalore,0,8.17,15,5610
62,Vistara,UK-933,Delhi,2,1,4,Chennai,1,7.58,27,57992
63,Vistara,UK-774,Kolkata,4,0,4,Mumbai,0,2.92,4,7959
64,Vistara,UK-817,Delhi,3,1,4,Mumbai,1,7.33,47,53164
65,Air_India,AI-888,Mumbai,3,1,3,Chennai,1,24,36,49613
66,Indigo,6E-2938,Delhi,1,1,2,Hyderabad,0,4.67,4,12150
67,Vistara,UK-950,Mumbai,4,1,3,Hyderabad,1,19.08,10,58125
68,Vistara,UK-854,Bangalore,3,1,2,Hyderabad,0,17.83,26,5322
69,Vistara,UK-933,Delhi,2,1,4,Chennai,0,7.58,29,4979
70,Vistara,UK-894,Hyderabad,3,1,4,Mumbai,0,25.75,40,3471
71,Vistara,UK-824,Chennai,4,1,1,Delhi,0,13.17,16,5606
72,Air_India,AI-770,Kolkata,4,1,2,Mumbai,0,16.33,30,5102
73,Vistara,UK-828,Chennai,0,1,3,Delhi,0,9.33,44,8578
74,AirAsia,I5-547,Kolkata,3,1,0,Mumbai,0,10.58,23,3987
75,SpiceJet,SG-534,Delhi,4,0,5,Bangalore,0,2.75,22,4721
76,Air_India,AI-441,Delhi,3,1,0,Hyderabad,1,13.42,44,39321
77,GO_FIRST,G8-512,Kolkata,0,1,3,Bangalore,0,14.75,18,6109
78,Indigo,6E-2109,Delhi,3,0,4,Kolkata,0,2.33,26,3999
79,Vistara,UK-801,Delhi,1,1,4,Mumbai,1,12.75,2,57868
80,AirAsia,I5-541,Kolkata,0,1,1,Bangalore,0,5.83,22,3862
81,Air_India,AI-748,Bangalore,5,1,4,Mumbai,0,17.42,39,6192
82,Indigo,6E-6172,Kolkata,4,1,1,Bangalore,0,8.92,34,3860
83,Air_India,AI-698,Hyderabad,4,1,3,Delhi,1,20,6,39499
84,Air_India,AI-502,Delhi,2,1,1,Hyderabad,1,19.33,10,44405
85,Air_India,AI-774,Mumbai,4,1,4,Chennai,0,26.25,2,14238
86,Air_India,AI-402,Kolkata,1,1,1,Chennai,1,22.5,32,55983
87,Vistara,UK-776,Kolkata,3,1,4,Chennai,0,5.5,26,7021
88,Indigo,6E-932,Mumbai,1,1,3,Hyderabad,0,10.58,45,3220
89,Vistara,UK-945,Delhi,1,1,4,Chennai,1,11.42,20,52392
90,Vistara,UK-776,Kolkata,3,1,1,Delhi,1,16.08,16,68303
91,Vistara,UK-993,Delhi,2,0,2,Mumbai,1,2.17,20,34472
92,Air_India,AI-512,Delhi,2,1,3,Bangalore,0,27.75,45,5504
93,Indigo,6E-6319,Hyderabad,3,1,5,Kolkata,0,6.92,28,4663
94,Vistara,UK-816,Bangalore,1,0,2,Delhi,1,2.67,20,50815
95,Air_India,AI-402,Kolkata,1,1,1,Hyderabad,1,25.5,14,52063
96,Air_India,AI-619,Mumbai,4,1,2,Delhi,0,17.58,42,3819
97,Indigo,6E-6014,Kolkata,1,1,3,Delhi,0,7.67,28,6489
98,Air_India,AI-503,Bangalore,3,1,3,Mumbai,1,26.67,19,54684
99,Air_India,AI-543,Hyderabad,1,1,1,Kolkata,1,21.67,27,51707
100,Indigo,6E-157,Hyderabad,0,1,1,Kolkata,0,5.75,33,3705
101,Air_India,AI-672,Chennai,2,1,1,Delhi,0,18.5,25,6178
102,Air_India,AI-840,Hyderabad,4,1,1,Bangalore,0,12.08,26,5894
103,Vistara,UK-841,Mumbai,1,2,4,Kolkata,0,11.33,47,9516
104,Vistara,UK-822,Chennai,1,1,3,Delhi,0,7.17,15,11448
105,Air_India,AI-483,Delhi,3,1,4,Kolkata,0,27.33,45,7249
106,Indigo,6E-2168,Delhi,3,1,4,Mumbai,0,4.42,6,7420
107,Indigo,6E-725,Kolkata,3,0,4,Hyderabad,0,2.17,16,6437
108,Indigo,6E-269,Chennai,1,1,3,Mumbai,0,6.67,43,1830
109,Vistara,UK-824,Chennai,4,1,1,Delhi,0,12.08,43,4971
110,Vistara,UK-836,Chennai,1,1,1,Mumbai,0,24.75,26,7753
111,Air_India,AI-501,Bangalore,2,1,4,Hyderabad,0,10.25,39,6200
112,Indigo,6E-897,Bangalore,1,1,4,Kolkata,0,10.17,7,16098
113,Air_India,AI-526,Kolkata,3,1,2,Delhi,1,17.33,49,43910
114,Indigo,6E-6212,Bangalore,1,1,4,Hyderabad,0,10,18,2767
115,Indigo,6E-6212,Bangalore,1,1,3,Mumbai,0,8.83,13,5635
116,Indigo,6E-711,Mumbai,2,1,4,Bangalore,0,6,38,6307
117,Indigo,6E-886,Bangalore,1,1,3,Kolkata,0,9.92,12,10271
118,Air_India,AI-440,Chennai,0,1,4,Bangalore,0,13.92,46,6308
119,Vistara,UK-838,Chennai,4,1,3,Mumbai,1,20.58,21,61873
120,Air_India,AI-840,Hyderabad,4,1,5,Bangalore,1,27.33,24,56590
121,Vistara,UK-814,Bangalore,4,1,1,Kolkata,0,11.42,10,11205
122,Air_India,AI-502,Delhi,2,1,4,Hyderabad,0,6.75,35,5530
123,Air_India,AI-765,Kolkata,3,1,2,Delhi,0,18.08,5,15729
124,Air_India,AI-411,Delhi,0,1,2,Mumbai,0,6.33,33,5231
125,Air_India,AI-748,Bangalore,5,1,3,Mumbai,1,15.17,15,56058
126,Vistara,UK-851,Mumbai,0,1,2,Delhi,0,5.67,48,6122
127,Vistara,UK-986,Mumbai,4,1,1,Kolkata,0,9.83,11,9879
128,AirAsia,I5-972,Hyderabad,3,1,0,Mumbai,0,13.42,48,2250
129,Vistara,UK-858,Bangalore,0,1,3,Chennai,0,13.25,28,4672
130,Vistara,UK-838,Chennai,4,1,1,Bangalore,1,13.75,5,78152
131,Air_India,AI-809,Mumbai,1,1,3,Chennai,1,9,20,49613
132,Vistara,UK-613,Mumbai,2,2,3,Hyderabad,0,7.67,29,6873
133,Indigo,6E-2471,Delhi,0,1,2,Bangalore,0,10.83,18,4189
134,GO_FIRST,G8-334,Delhi,0,1,3,Bangalore,0,8.17,32,4020
135,Air_India,AI-9875,Hyderabad,1,1,4,Delhi,0,9.58,4,11488
136,Air_India,AI-525,Hyderabad,0,1,4,Delhi,1,14.92,32,47586
137,Air_India,AI-430,Chennai,1,0,2,Delhi,1,3.08,6,27792
138,Vistara,UK-963,Delhi,1,1,3,Kolkata,1,8,22,67769
139,Air_India,AI-748,Bangalore,5,1,3,Delhi,1,15.33,8,52586
140,Indigo,6E-6151,Hyderabad,1,1,3,Bangalore,0,7.67,27,3072
141,Vistara,UK-708,Kolkata,4,1,2,Mumbai,0,18.58,10,10604
142,Vistara,UK-858,Bangalore,0,1,4,Delhi,1,15.25,35,57081
143,Vistara,UK-834,Chennai,3,1,1,Kolkata,0,14.92,46,5660
144,Vistara,UK-985,Delhi,3,1,1,Bangalore,1,13,24,62617
145,Vistara,UK-874,Hyderabad,1,1,4,Delhi,0,14.5,21,5656
146,Vistara,UK-838,Chennai,4,1,3,Bangalore,0,19.92,3,13032
147,Air_India,AI-636,Delhi,2,1,4,Hyderabad,0,7.08,6,9840
148,Air_India,AI-649,Mumbai,0,1,4,Delhi,0,16.42,46,7237
149,Vistara,UK-708,Kolkata,4,1,1,Mumbai,0,15.17,29,6067
150,Vistara,UK-802,Bangalore,3,1,1,Kolkata,1,14.75,17,60508
151,Air_India,AI-840,Hyderabad,4,1,1,Mumbai,0,14.42,6,7774
152,Indigo,6E-5358,Hyderabad,0,0,0,Mumbai,0,1.33,32,3096
153,Air_India,AI-665,Delhi,0,1,0,Chennai,0,23.33,11,11520
154,Indigo,6E-461,Mumbai,0,1,2,Kolkata,0,7.08,48,8560
155,Air_India,AI-867,Mumbai,4,1,3,Bangalore,0,18.75,12,9201
156,Indigo,6E-6128,Kolkata,0,1,2,Hyderabad,0,7,39,3401
157,Vistara,UK-738,Kolkata,3,1,1,Chennai,1,15.17,40,55983
158,Vistara,UK-809,Delhi,3,0,4,Bangalore,0,2.83,4,7425
159,Air_India,AI-636,Delhi,2,1,1,Bangalore,1,20.67,24,42457
160,Air_India,AI-537,Delhi,3,0,3,Chennai,0,2.75,31,2658
161,Air_India,AI-507,Hyderabad,1,1,3,Delhi,0,7.58,9,12958
162,Vistara,UK-801,Delhi,1,2,4,Chennai,0,14,8,16212
163,Vistara,UK-771,Mumbai,0,1,4,Delhi,0,14.17,30,7838
164,Air_India,AI-888,Mumbai,3,1,2,Bangalore,1,17.5,43,54608
165,Vistara,UK-852,Mumbai,2,2,3,Hyderabad,0,7.75,31,8386
166,Vistara,UK-941,Delhi,3,1,4,Chennai,1,6.33,34,53512
167,Air_India,AI-559,Hyderabad,0,1,3,Mumbai,0,11.5,13,7774
168,Indigo,6E-2329,Delhi,1,1,3,Kolkata,0,6.58,37,11010
169,Vistara,UK-747,Delhi,0,0,1,Kolkata,1,2.08,5,45896
170,Vistara,UK-874,Hyderabad,1,1,2,Delhi,0,6,28,5892
171,Indigo,6E-512,Kolkata,2,1,3,Hyderabad,0,4.5,36,4505
172,Vistara,UK-816,Bangalore,1,1,4,Mumbai,1,11.33,45,54684
173,Air_India,AI-610,Bangalore,3,1,1,Chennai,1,15.75,18,43865
174,GO_FIRST,G8-319,Mumbai,1,1,4,Kolkata,0,11.83,20,5817
175,Vistara,UK-738,Kolkata,3,1,1,Hyderabad,0,14.92,20,5632
176,Air_India,AI-763,Kolkata,0,1,4,Chennai,0,16.58,18,5284
177,Indigo,6E-534,Kolkata,3,1,4,Chennai,0,5.33,11,19194
178,Indigo,6E-711,Mumbai,2,1,4,Hyderabad,0,8.5,23,5781
179,Vistara,UK-830,Hyderabad,1,1,4,Chennai,1,10.17,45,51707
180,Air_India,AI-430,Chennai,1,1,1,Kolkata,0,23.08,27,5623
181,Air_India,AI-867,Mumbai,4,1,3,Hyderabad,0,20.08,17,8063
182,Vistara,UK-810,Bangalore,0,1,4,Kolkata,1,15.75,30,60508
183,Vistara,UK-995,Delhi,1,1,3,Bangalore,0,8.92,48,4496
184,Vistara,UK-838,Chennai,4,1,2,Mumbai,0,15.5,2,16278
185,Air_India,AI-768,Kolkata,2,2,4,Mumbai,0,6.67,2,13734
186,Vistara,UK-860,Hyderabad,0,1,4,Bangalore,1,13.58,24,63277
187,Air_India,AI-838,Hyderabad,2,1,5,Bangalore,1,11.17,4,56590
188,Vistara,UK-838,Chennai,4,1,1,Kolkata,0,12.5,39,5937
189,Vistara,UK-927,Delhi,1,1,3,Bangalore,0,9.75,35,4496
190,Vistara,UK-819,Delhi,2,1,4,Mumbai,0,7.58,9,12150
191,Air_India,AI-9547,Bangalore,3,1,1,Mumbai,0,13.33,30,3961
192,Indigo,6E-6151,Hyderabad,1,1,2,Bangalore,0,4.25,41,1755
193,Indigo,6E-893,Kolkata,1,1,3,Bangalore,0,9.42,42,3831
194,Vistara,UK-822,Chennai,1,1,5,Delhi,0,14.42,35,4971
195,Indigo,6E-6021,Kolkata,2,1,4,Chennai,0,8.17,4,12348
196,Air_India,AI-767,Delhi,2,1,4,Bangalore,0,8.67,39,6892
197,Air_India,AI-429,Chennai,2,1,3,Delhi,0,27.83,26,7563
198,AirAsia,I5-710,Delhi,1,1,4,Chennai,0,9.5,26,1998
199,Air_India,AI-573,Bangalore,2,1,3,Kolkata,1,4.75,18,25000
200,Vistara,UK-815,Delhi,1,0,1,Bangalore,1,2.75,30,32859
201,Vistara,UK-878,Hyderabad,2,1,1,Bangalore,0,21.83,25,5441
202,Air_India,AI-676,Kolkata,1,1,4,Delhi,0,14.08,8,13524
203,Indigo,6E-417,Kolkata,2,0,3,Chennai,0,2.33,11,6752
204,Vistara,UK-817,Delhi,3,1,4,Mumbai,0,5.75,7,12150
205,GO_FIRST,G8-511,Mumbai,0,1,3,Bangalore,0,12.17,43,7617
206,Vistara,UK-850,Bangalore,3,1,1,Delhi,0,12.67,41,4111
207,Vistara,UK-706,Kolkata,1,1,4,Mumbai,0,13.58,14,11675
208,Air_India,AI-570,Mumbai,0,1,2,Kolkata,0,8.58,44,4247
209,AirAsia,I5-1531,Chennai,4,1,0,Mumbai,0,9.25,15,5030
210,Vistara,UK-933,Delhi,2,1,1,Kolkata,1,18.17,15,65529
211,Vistara,UK-858,Bangalore,0,1,2,Delhi,0,7.83,12,10744
212,SpiceJet,SG-337,Kolkata,1,1,1,Delhi,0,25.42,6,13287
213,GO_FIRST,G8-7556,Hyderabad,2,1,1,Bangalore,0,18.83,26,4452
214,Air_India,AI-505,Bangalore,1,1,4,Mumbai,0,11.75,35,6158
215,Vistara,UK-772,Kolkata,1,1,4,Delhi,1,11.17,49,84756
216,Vistara,UK-822,Chennai,1,2,1,Hyderabad,0,23.33,42,6015
217,Vistara,UK-772,Kolkata,1,2,3,Hyderabad,0,9.5,30,8483
218,Air_India,AI-805,Delhi,3,1,0,Chennai,0,11.33,15,4566
219,Air_India,AI-803,Delhi,0,1,0,Hyderabad,0,25.67,1,11310
220,Air_India,AI-770,Kolkata,4,1,3,Hyderabad,0,21.08,4,12605
221,SpiceJet,SG-3027,Bangalore,0,1,5,Delhi,0,19.25,36,6423
222,Vistara,UK-897,Bangalore,0,1,2,Mumbai,0,6.58,20,4792
223,Air_India,AI-503,Bangalore,3,1,1,Mumbai,0,16.33,20,6578
224,Vistara,UK-802,Bangalore,3,1,3,Kolkata,1,23.25,14,78400
225,Vistara,UK-988,Mumbai,4,1,1,Kolkata,1,12.67,45,62045
226,Vistara,UK-830,Hyderabad,1,1,4,Mumbai,0,9.75,36,5060
227,Indigo,6E-6006,Chennai,2,1,5,Delhi,0,9.33,33,3361
228,Vistara,UK-870,Hyderabad,4,1,1,Bangalore,1,12.08,38,56702
229,GO_FIRST,G8-7547,Bangalore,1,1,3,Kolkata,0,7.5,36,6186
230,Vistara,UK-858,Bangalore,0,1,1,Chennai,1,5.17,46,44280
231,GO_FIRST,G8-426,Hyderabad,4,1,1,Mumbai,0,11.83,22,4165
232,Air_India,AI-806,Mumbai,0,1,3,Bangalore,1,8.25,38,54608
233,Vistara,UK-822,Chennai,1,1,4,Delhi,0,12.17,8,11448
234,Air_India,AI-780,Hyderabad,2,1,3,Chennai,1,28,47,39682
235,Indigo,6E-886,Bangalore,1,1,3,Mumbai,0,7.25,7,8832
236,AirAsia,I5-1563,Kolkata,3,2,1,Delhi,0,13.17,39,3014
237,Air_India,AI-430,Chennai,1,1,4,Hyderabad,0,13.67,20,4714
238,GO_FIRST,G8-321,Mumbai,2,1,4,Kolkata,0,9.5,27,5817
239,Air_India,AI-747,Kolkata,4,0,5,Bangalore,0,2.58,24,4067
240,Air_India,AI-541,Hyderabad,3,1,1,Kolkata,0,16.75,39,4789
241,Air_India,AI-669,Mumbai,1,1,2,Bangalore,1,26.33,16,39547
242,AirAsia,I5-330,Mumbai,4,1,2,Bangalore,0,13.5,21,2074
243,Vistara,UK-985,Delhi,3,1,0,Bangalore,0,12,21,4496
244,Air_India,AI-505,Bangalore,1,1,3,Mumbai,0,9.58,19,6578
245,Air_India,AI-867,Mumbai,4,1,4,Chennai,0,26.08,10,9201
246,Vistara,UK-814,Bangalore,4,1,1,Kolkata,0,12.42,19,8112
247,Vistara,UK-880,Hyderabad,2,1,4,Kolkata,1,9.33,10,51819
248,Air_India,AI-625,Mumbai,1,2,5,Bangalore,0,16,13,14766
249,Vistara,UK-820,Bangalore,3,0,4,Delhi,0,2.58,46,4502
250,Vistara,UK-836,Chennai,1,1,4,Mumbai,0,9.33,37,5037
251,Vistara,UK-873,Mumbai,0,2,4,Chennai,0,16.42,7,15192
252,AirAsia,I5-1563,Kolkata,3,2,2,Delhi,0,18.33,23,3014
253,Vistara,UK-836,Chennai,1,1,3,Hyderabad,0,9.17,37,4086
254,Air_India,AI-9547,Bangalore,3,1,4,Hyderabad,0,26.08,14,7437
255,Air_India,AI-442,Mumbai,2,1,1,Kolkata,0,16.5,22,6000
256,SpiceJet,SG-337,Kolkata,2,1,4,Mumbai,0,9.33,2,14337
257,Indigo,6E-6809,Mumbai,3,1,4,Hyderabad,0,5.67,31,4258
258,Vistara,UK-878,Hyderabad,2,1,4,Bangalore,1,9.92,37,38099
259,Indigo,6E-591,Chennai,1,0,2,Hyderabad,0,1.33,35,1551
260,Indigo,6E-711,Mumbai,2,1,3,Hyderabad,0,5,4,9146
261,Air_India,AI-687,Mumbai,2,1,1,Hyderabad,1,18.5,8,45693
262,Air_India,AI-539,Chennai,3,1,1,Mumbai,0,16.08,16,6037
263,Vistara,UK-708,Kolkata,4,1,0,Mumbai,1,11.5,17,70543
264,AirAsia,I5-1426,Bangalore,2,1,4,Delhi,0,7.33,21,2723
265,Vistara,UK-846,Bangalore,1,1,3,Chennai,1,11.42,21,44280
266,Vistara,UK-880,Hyderabad,2,1,4,Mumbai,0,8.17,48,6483
267,SpiceJet,SG-4010,Chennai,1,1,3,Kolkata,0,11.58,11,5041
268,Air_India,AI-543,Hyderabad,1,0,2,Delhi,0,2.5,27,2696
269,Vistara,UK-852,Bangalore,1,1,3,Delhi,0,8.58,41,4111
270,Vistara,UK-838,Chennai,4,1,2,Mumbai,0,16.92,17,5372
271,Vistara,UK-850,Bangalore,3,1,1,Delhi,1,15.08,37,57081
272,GO_FIRST,G8-327,Mumbai,0,1,4,Hyderabad,0,14.67,34,5942
273,Vistara,UK-808,Bangalore,0,1,4,Mumbai,1,14.83,42,54684
274,Vistara,UK-960,Mumbai,1,0,2,Delhi,1,2.17,5,34460
275,Vistara,UK-808,Bangalore,0,1,3,Kolkata,1,10.08,5,60508
276,Air_India,AI-804,Bangalore,0,1,2,Mumbai,0,6.67,17,6893
277,GO_FIRST,G8-227,Kolkata,0,1,4,Bangalore,0,15.42,9,6488
278,Vistara,UK-825,Mumbai,1,0,1,Chennai,0,2.08,43,3020
279,Indigo,6E-496,Kolkata,0,1,3,Mumbai,0,9.75,36,5605
280,Air_India,AI-840,Hyderabad,4,1,1,Mumbai,1,14.42,11,45883
281,Vistara,UK-902,Mumbai,2,1,4,Kolkata,0,7,22,5949
282,Vistara,UK-951,Delhi,2,1,3,Bangalore,0,4.92,43,4496
283,Indigo,6E-6212,Bangalore,1,1,3,Hyderabad,0,8.58,44,1694
284,SpiceJet,SG-8157,Delhi,0,1,0,Chennai,0,25.67,13,7425
285,GO_FIRST,G8-393,Kolkata,1,1,4,Delhi,0,12.58,46,7250
286,Indigo,6E-5038,Chennai,1,1,3,Kolkata,0,8.75,49,7518
287,Vistara,UK-951,Delhi,2,1,3,Kolkata,1,26.5,17,61161
288,Vistara,UK-708,Kolkata,4,0,4,Delhi,0,2.42,48,4001
289,Air_India,AI-429,Chennai,2,1,3,Delhi,0,27.83,35,7563
290,AirAsia,I5-768,Delhi,2,2,4,Kolkata,0,7.75,18,2480
291,Air_India,AI-877,Delhi,1,1,3,Bangalore,1,6.08,24,39783
292,Air_India,AI-635,Mumbai,0,1,1,Hyderabad,0,28.83,6,7584
293,Vistara,UK-858,Bangalore,0,1,4,Chennai,1,16.42,35,44280
294,GO_FIRST,G8-2417,Mumbai,3,1,4,Delhi,0,5.5,30,6194
295,Indigo,6E-841,Bangalore,2,1,4,Hyderabad,0,6.08,17,4150
296,Air_India,AI-9893,Hyderabad,0,1,2,Delhi,0,6.5,30,4989
297,Air_India,AI-770,Kolkata,4,1,2,Chennai,1,16.17,7,55983
298,Vistara,UK-772,Kolkata,1,1,4,Delhi,1,12,48,84756
299,Vistara,UK-873,Mumbai,0,1,4,Delhi,0,16.5,15,4953
300,Air_India,AI-9894,Chennai,1,1,1,Kolkata,0,23.58,46,3038
301,Indigo,6E-5038,Chennai,1,1,3,Kolkata,0,8.75,15,10066
302,Air_India,AI-635,Mumbai,0,1,4,Kolkata,1,15.25,42,49725
303,GO_FIRST,G8-364,Mumbai,3,1,1,Delhi,0,14.58,8,10903
304,Vistara,UK-637,Delhi,3,1,1,Mumbai,0,18.33,43,4381
305,Vistara,UK-928,Mumbai,0,1,4,Chennai,1,16.25,14,57453
306,SpiceJet,SG-264,Kolkata,4,1,4,Mumbai,0,23.08,48,5934
307,Air_India,AI-9894,Chennai,1,1,4,Mumbai,0,13.08,34,5740
308,Indigo,6E-847,Chennai,3,1,4,Mumbai,0,6.75,44,1830
309,Air_India,AI-765,Kolkata,4,1,3,Delhi,0,23.08,31,5549
310,Indigo,6E-6491,Bangalore,2,1,3,Mumbai,0,6.17,28,4190
311,Vistara,UK-928,Mumbai,0,1,3,Hyderabad,1,13.33,48,53645
312,Indigo,6E-893,Kolkata,1,1,3,Mumbai,0,10.17,23,7012
313,GO_FIRST,G8-515,Hyderabad,1,1,3,Delhi,0,7.5,22,6132
314,SpiceJet,SG-8946,Delhi,1,1,2,Bangalore,0,25.67,20,5619
315,Air_India,AI-440,Chennai,0,1,3,Mumbai,0,11.83,21,5092
316,Vistara,UK-776,Kolkata,3,1,4,Bangalore,1,27.33,12,52287
317,Air_India,AI-895,Delhi,1,1,3,Kolkata,1,7.5,2,51198
318,Vistara,UK-846,Bangalore,1,1,4,Delhi,1,12.17,8,57081
319,Vistara,UK-653,Mumbai,0,1,3,Delhi,1,10.5,42,36565
320,GO_FIRST,G8-873,Bangalore,1,1,3,Delhi,0,7.08,48,5696
321,Vistara,UK-825,Mumbai,1,1,3,Delhi,1,10.17,4,51372
322,Vistara,UK-880,Hyderabad,2,1,4,Mumbai,0,8.58,22,4266
323,Vistara,UK-874,Hyderabad,1,1,1,Bangalore,0,26.25,47,5441
324,Air_India,AI-459,Delhi,0,1,1,Bangalore,0,4.75,5,11616
325,Air_India,AI-440,Chennai,0,1,3,Mumbai,0,35.25,16,12778
326,Vistara,UK-960,Mumbai,1,0,2,Delhi,1,2.17,9,34460
327,Vistara,UK-706,Kolkata,1,1,3,Mumbai,0,6.25,49,6067
328,Air_India,AI-543,Hyderabad,1,1,5,Bangalore,1,12.83,43,56590
329,Vistara,UK-810,Bangalore,0,1,3,Kolkata,0,12.58,49,8112
330,Indigo,6E-379,Bangalore,1,1,2,Mumbai,0,5.08,6,7005
331,Air_India,AI-537,Delhi,3,1,1,Kolkata,0,17.33,42,4385
332,Air_India,AI-430,Chennai,1,1,5,Bangalore,1,14.25,23,60260
333,Air_India,AI-459,Delhi,0,1,4,Hyderabad,0,14.83,1,9831
334,Vistara,UK-944,Mumbai,2,1,3,Hyderabad,0,5.25,13,9879
335,Vistara,UK-866,Bangalore,4,1,4,Chennai,1,25.42,7,44280
336,Air_India,AI-502,Delhi,2,1,4,Hyderabad,0,6.75,11,11310
337,GO_FIRST,G8-382,Mumbai,2,1,4,Delhi,0,5,16,5942
338,Indigo,6E-198,Delhi,0,1,2,Bangalore,0,9.08,30,4007
339,Vistara,UK-860,Hyderabad,0,1,3,Bangalore,1,10.17,38,63277
